No,Jenis BMN,Kode Satker,Nama Satker,Kode Barang,NUP,Nama Barang,Merk,Tipe,Kondisi,Nama,Tanggal Perolehan,Nilai Perolehan,Nilai Buku,Status Penggunaan,gps_latitude,gps_longitude,Alamat,RT/RW,Kelurahan/Desa,Kecamatan,Kab/Kota,Provinsi,Nama K/L,Kode Register,KELOMPOK BMN,Kelompok Indeks,Indeks Total,Start_date,Nilai Premi
89,RUMAH NEGARA,004010100662745000KD,BPK PERWAKILAN PROVINSI DKI JAKARTA,4010201007,2,Rumah Negara Golongan I Tipe C Permanen,Rumah Dinas Eselon III,70,Baik,Rumah Dinas Eselon III 70,2007-11-07,"194.902.000,00",126966283,Digunakan sendiri untuk operasional,,,Jati Padang Poncol III,003/08,JATIPADANG,PASAR MINGGU,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,5",E10637F36213BCFBE0531261F20A107D,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"382202,822"
91,RUMAH NEGARA,004010100662745000KD,BPK PERWAKILAN PROVINSI DKI JAKARTA,4010201010,1,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Eselon IV,56,Baik,Rumah Dinas Eselon IV 56,2007-11-07,"155.922.000,00",101573245,Digunakan sendiri untuk operasional,,,Jati Padang Poncol III,003/08,JATIPADANG,PASAR MINGGU,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,5",E10637F36214BCFBE0531261F20A107D,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"305763,042"
94,RUMAH NEGARA,004010100662745000KD,BPK PERWAKILAN PROVINSI DKI JAKARTA,4010201010,4,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Eselon IV,56,Baik,Rumah Dinas Eselon IV 56,2007-11-07,"155.922.000,00",101573245,Digunakan sendiri untuk operasional,,,Jati Padang Poncol III,003/08,JATIPADANG,PASAR MINGGU,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,5",E10637F36211BCFBE0531261F20A107D,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"305763,042"
96,RUMAH NEGARA,004010100662745000KD,BPK PERWAKILAN PROVINSI DKI JAKARTA,4010201010,6,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Eselon IV,56,Baik,Rumah Dinas Eselon IV 56,2007-11-07,"155.922.000,00",101573245,Digunakan sendiri untuk operasional,,,Jati Padang Poncol III,003/08,JATIPADANG,PASAR MINGGU,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,5",E10637F36207BCFBE0531261F20A107D,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"305763,042"
99,RUMAH NEGARA,004010100662745000KD,BPK PERWAKILAN PROVINSI DKI JAKARTA,4010201010,9,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Eselon IV,56,Baik,Rumah Dinas Eselon IV 56,2007-11-07,"155.922.000,00",101573245,Digunakan sendiri untuk operasional,,,Jati Padang Poncol III,003/08,JATIPADANG,PASAR MINGGU,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,5",E10637F36206BCFBE0531261F20A107D,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"305763,042"
100,RUMAH NEGARA,004010100662745000KD,BPK PERWAKILAN PROVINSI DKI JAKARTA,4010201010,10,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Eselon IV,56,Baik,Rumah Dinas Eselon IV 56,2007-11-07,"195.514.168,00",137316172,Digunakan sendiri untuk operasional,,,Jati Padang Poncol III,003/08,JATIPADANG,PASAR MINGGU,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,5",E10637F3620FBCFBE0531261F20A107D,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"383403,2834"
101,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010201001,1,Rumah Negara Golongan I Tipe A Permanen,RUMAH DINAS SEKJEN,RUMAH JABATAN,Baik,RUMAH DINAS SEKJEN RUMAH JABATAN,1983-06-23,"1.977.025.500,00",1256868731,Digunakan sendiri untuk operasional,,,TAMAN BRAWIJAYA III NO.10,,CIPETE,KEBAYORAN BARU,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,5",E2AA275BFF612BB7E0531561F20A8614,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"3876947,006"
112,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010201001,13,Rumah Negara Golongan I Tipe A Permanen,RUMAH DINAS ES-IB,RUMAH JABATAN,Baik,RUMAH DINAS ES-IB RUMAH JABATAN,2008-12-13,"537.993.000,00",439579650,Digunakan sendiri untuk operasional,,,RAYA JOGLO,KAV NO.11,SRENGSENG,KEMBANGAN,KOTA JAKARTA BARAT,DKI JAKARTA,"0,5",E2AA275BFF582BB7E0531561F20A8614,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"1055004,273"
114,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010201001,15,Rumah Negara Golongan I Tipe A Permanen,RUMAH DINAS ES-IB,RUMAH JABATAN,Baik,RUMAH DINAS ES-IB RUMAH JABATAN,2008-12-13,"492.206.000,00",402168320,Digunakan sendiri untuk operasional,,,RAYA JOGLO,KAV NO.13,SRENGSENG,KEMBANGAN,KOTA JAKARTA BARAT,DKI JAKARTA,"0,5",E2AA275BFF3F2BB7E0531561F20A8614,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"965215,966"
115,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010201001,16,Rumah Negara Golongan I Tipe A Permanen,RUMAH DINAS ES-IB,RUMAH JABATAN,Baik,RUMAH DINAS ES-IB RUMAH JABATAN,2008-12-13,"564.555.500,00",469493550,Digunakan sendiri untuk operasional,,,RAYA JOGLO,KAV NO.14,SRENGSENG,KEMBANGAN,KOTA JAKARTA BARAT,DKI JAKARTA,"0,5",E2AA275BFF322BB7E0531561F20A8614,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"1107093,336"
